num,type,audio_path,audio_file,start_sec,end_sec,duration_sec,source_file,segment_id,text,sentence,response,trial,block,cond,accuracy,matched_patient_id,split,is_augmented,augmentation_id
1,before_first,segments\segment_1.wav,segment_1.wav,0.0,69.46525,69.46525,100_DDF,100_DDF_seg001,молодой художник рисует  картину,Молодой художник рисует ...,картину,train1,train1,real,1.0,100_DDF,train,,
1,before_first,segments_augmented/100_DDF_seg001_aug1.wav,segment_1.wav,0.0,69.46525,69.46525,100_DDF,100_DDF_seg001_aug1,молодой художник рисует  картину,Молодой художник рисует ...,картину,train1,train1,real,1.0,100_DDF,train,True,0.0
1,before_first,segments_augmented/100_DDF_seg001_aug2.wav,segment_1.wav,0.0,69.46525,69.46525,100_DDF,100_DDF_seg001_aug2,молодой художник рисует  картину,Молодой художник рисует ...,картину,train1,train1,real,1.0,100_DDF,train,True,1.0
2,between,segments\segment_2.wav,segment_2.wav,71.649,76.46275,4.813749999999999,100_DDF,100_DDF_seg002,зрители долго смотрели  на представление,Зрители долго смотрели ...,на представление,train2,train1,real,1.0,100_DDF,train,,
2,between,segments_augmented/100_DDF_seg002_aug1.wav,segment_2.wav,71.649,76.46275,4.813749999999999,100_DDF,100_DDF_seg002_aug1,зрители долго смотрели  на представление,Зрители долго смотрели ...,на представление,train2,train1,real,1.0,100_DDF,train,True,0.0
2,between,segments_augmented/100_DDF_seg002_aug2.wav,segment_2.wav,71.649,76.46275,4.813749999999999,100_DDF,100_DDF_seg002_aug2,зрители долго смотрели  на представление,Зрители долго смотрели ...,на представление,train2,train1,real,1.0,100_DDF,train,True,1.0
3,between,segments\segment_3.wav,segment_3.wav,78.6465,83.46375,4.817250000000001,100_DDF,100_DDF_seg003,серый кот ловит  мышей,Серый кот ловит ...,мышей,train3,train1,real,1.0,100_DDF,train,,
3,between,segments_augmented/100_DDF_seg003_aug1.wav,segment_3.wav,78.6465,83.46375,4.817250000000001,100_DDF,100_DDF_seg003_aug1,серый кот ловит  мышей,Серый кот ловит ...,мышей,train3,train1,real,1.0,100_DDF,train,True,0.0
3,between,segments_augmented/100_DDF_seg003_aug2.wav,segment_3.wav,78.6465,83.46375,4.817250000000001,100_DDF,100_DDF_seg003_aug2,серый кот ловит  мышей,Серый кот ловит ...,мышей,train3,train1,real,1.0,100_DDF,train,True,1.0
4,between,segments\segment_4.wav,segment_4.wav,85.64750000000001,90.4630625,4.815562499999999,100_DDF,100_DDF_seg004,жееее жееееее жееееееее  1,Жееее жееееее жееееееее ...,1,train4,train2,baseline,1.0,100_DDF,train,,
4,between,segments_augmented/100_DDF_seg004_aug1.wav,segment_4.wav,85.64750000000001,90.4630625,4.815562499999999,100_DDF,100_DDF_seg004_aug1,жееее жееееее жееееееее  1,Жееее жееееее жееееееее ...,1,train4,train2,baseline,1.0,100_DDF,train,True,0.0
4,between,segments_augmented/100_DDF_seg004_aug2.wav,segment_4.wav,85.64750000000001,90.4630625,4.815562499999999,100_DDF,100_DDF_seg004_aug2,жееее жееееее жееееееее  1,Жееее жееееее жееееееее ...,1,train4,train2,baseline,1.0,100_DDF,train,True,1.0
5,between,segments\segment_5.wav,segment_5.wav,92.64681250000001,97.4633125,4.816499999999991,100_DDF,100_DDF_seg005,тоооооо тоо тооооо  1,Тоооооо тоо тооооо ...,1,train5,train2,baseline,1.0,100_DDF,train,,
5,between,segments_augmented/100_DDF_seg005_aug1.wav,segment_5.wav,92.64681250000001,97.4633125,4.816499999999991,100_DDF,100_DDF_seg005_aug1,тоооооо тоо тооооо  1,Тоооооо тоо тооооо ...,1,train5,train2,baseline,1.0,100_DDF,train,True,0.0
5,between,segments_augmented/100_DDF_seg005_aug2.wav,segment_5.wav,92.64681250000001,97.4633125,4.816499999999991,100_DDF,100_DDF_seg005_aug2,тоооооо тоо тооооо  1,Тоооооо тоо тооооо ...,1,train5,train2,baseline,1.0,100_DDF,train,True,1.0
6,between,segments\segment_6.wav,segment_6.wav,99.6470625,104.4630625,4.8160000000000025,100_DDF,100_DDF_seg006,наааааааааа нааааа нааа  1,Наааааааааа нааааа нааа ...,1,train6,train2,baseline,1.0,100_DDF,train,,
6,between,segments_augmented/100_DDF_seg006_aug1.wav,segment_6.wav,99.6470625,104.4630625,4.8160000000000025,100_DDF,100_DDF_seg006_aug1,наааааааааа нааааа нааа  1,Наааааааааа нааааа нааа ...,1,train6,train2,baseline,1.0,100_DDF,train,True,0.0
6,between,segments_augmented/100_DDF_seg006_aug2.wav,segment_6.wav,99.6470625,104.4630625,4.8160000000000025,100_DDF,100_DDF_seg006_aug2,наааааааааа нааааа нааа  1,Наааааааааа нааааа нааа ...,1,train6,train2,baseline,1.0,100_DDF,train,True,1.0
7,between,segments\segment_7.wav,segment_7.wav,106.64681250000001,111.462375,4.815562499999984,100_DDF,100_DDF_seg007,сестрица пасёт резвую  n/r,Сестрица пасёт резвую ...,N/R,1,1,real,0.0,100_DDF,train,,
7,between,segments_augmented/100_DDF_seg007_aug1.wav,segment_7.wav,106.64681250000001,111.462375,4.815562499999984,100_DDF,100_DDF_seg007_aug1,сестрица пасёт резвую  n/r,Сестрица пасёт резвую ...,N/R,1,1,real,0.0,100_DDF,train,True,0.0
7,between,segments_augmented/100_DDF_seg007_aug2.wav,segment_7.wav,106.64681250000001,111.462375,4.815562499999984,100_DDF,100_DDF_seg007_aug2,сестрица пасёт резвую  n/r,Сестрица пасёт резвую ...,N/R,1,1,real,0.0,100_DDF,train,True,1.0
8,between,segments\segment_8.wav,segment_8.wav,113.646125,118.462625,4.816500000000005,100_DDF,100_DDF_seg008,умная соседка прочла  n/r,Умная соседка прочла ...,N/R,2,1,real,0.0,100_DDF,train,,
8,between,segments_augmented/100_DDF_seg008_aug1.wav,segment_8.wav,113.646125,118.462625,4.816500000000005,100_DDF,100_DDF_seg008_aug1,умная соседка прочла  n/r,Умная соседка прочла ...,N/R,2,1,real,0.0,100_DDF,train,True,0.0
8,between,segments_augmented/100_DDF_seg008_aug2.wav,segment_8.wav,113.646125,118.462625,4.816500000000005,100_DDF,100_DDF_seg008_aug2,умная соседка прочла  n/r,Умная соседка прочла ...,N/R,2,1,real,0.0,100_DDF,train,True,1.0
9,between,segments\segment_9.wav,segment_9.wav,120.646375,125.462375,4.815999999999988,100_DDF,100_DDF_seg009,водитель громко торопит  n/r,Водитель громко торопит ...,N/R,3,1,real,0.0,100_DDF,train,,
9,between,segments_augmented/100_DDF_seg009_aug1.wav,segment_9.wav,120.646375,125.462375,4.815999999999988,100_DDF,100_DDF_seg009_aug1,водитель громко торопит  n/r,Водитель громко торопит ...,N/R,3,1,real,0.0,100_DDF,train,True,0.0
9,between,segments_augmented/100_DDF_seg009_aug2.wav,segment_9.wav,120.646375,125.462375,4.815999999999988,100_DDF,100_DDF_seg009_aug2,водитель громко торопит  n/r,Водитель громко торопит ...,N/R,3,1,real,0.0,100_DDF,train,True,1.0
10,between,segments\segment_10.wav,segment_10.wav,127.646125,132.4609375,4.814812500000002,100_DDF,100_DDF_seg010,лооооооо лоооо лооооо  1,Лооооооо лоооо лооооо ...,1,4,2,baseline,1.0,100_DDF,train,,
10,between,segments_augmented/100_DDF_seg010_aug1.wav,segment_10.wav,127.646125,132.4609375,4.814812500000002,100_DDF,100_DDF_seg010_aug1,лооооооо лоооо лооооо  1,Лооооооо лоооо лооооо ...,1,4,2,baseline,1.0,100_DDF,train,True,0.0
10,between,segments_augmented/100_DDF_seg010_aug2.wav,segment_10.wav,127.646125,132.4609375,4.814812500000002,100_DDF,100_DDF_seg010_aug2,лооооооо лоооо лооооо  1,Лооооооо лоооо лооооо ...,1,4,2,baseline,1.0,100_DDF,train,True,1.0
11,between,segments\segment_11.wav,segment_11.wav,134.6446875,139.4619375,4.817250000000001,100_DDF,100_DDF_seg011,дииии дииииии диииии  1,Дииии дииииии диииии ...,1,5,2,baseline,1.0,100_DDF,train,,
11,between,segments_augmented/100_DDF_seg011_aug1.wav,segment_11.wav,134.6446875,139.4619375,4.817250000000001,100_DDF,100_DDF_seg011_aug1,дииии дииииии диииии  1,Дииии дииииии диииии ...,1,5,2,baseline,1.0,100_DDF,train,True,0.0
11,between,segments_augmented/100_DDF_seg011_aug2.wav,segment_11.wav,134.6446875,139.4619375,4.817250000000001,100_DDF,100_DDF_seg011_aug2,дииии дииииии диииии  1,Дииии дииииии диииии ...,1,5,2,baseline,1.0,100_DDF,train,True,1.0
12,between,segments\segment_12.wav,segment_12.wav,141.6456875,146.4616875,4.8160000000000025,100_DDF,100_DDF_seg012,цааааааа цааааа цаааааа  0,Цааааааа цааааа цаааааа ...,0,6,2,baseline,0.0,100_DDF,train,,
12,between,segments_augmented/100_DDF_seg012_aug1.wav,segment_12.wav,141.6456875,146.4616875,4.8160000000000025,100_DDF,100_DDF_seg012_aug1,цааааааа цааааа цаааааа  0,Цааааааа цааааа цаааааа ...,0,6,2,baseline,0.0,100_DDF,train,True,0.0
12,between,segments_augmented/100_DDF_seg012_aug2.wav,segment_12.wav,141.6456875,146.4616875,4.8160000000000025,100_DDF,100_DDF_seg012_aug2,цааааааа цааааа цаааааа  0,Цааааааа цааааа цаааааа ...,0,6,2,baseline,0.0,100_DDF,train,True,1.0
13,between,segments\segment_13.wav,segment_13.wav,148.6454375,153.4615,4.816062499999987,100_DDF,100_DDF_seg013,бабушка варит вкусный  варенье,Бабушка варит вкусный ...,варенье,7,3,real,1.0,100_DDF,train,,
13,between,segments_augmented/100_DDF_seg013_aug1.wav,segment_13.wav,148.6454375,153.4615,4.816062499999987,100_DDF,100_DDF_seg013_aug1,бабушка варит вкусный  варенье,Бабушка варит вкусный ...,варенье,7,3,real,1.0,100_DDF,train,True,0.0
13,between,segments_augmented/100_DDF_seg013_aug2.wav,segment_13.wav,148.6454375,153.4615,4.816062499999987,100_DDF,100_DDF_seg013_aug2,бабушка варит вкусный  варенье,Бабушка варит вкусный ...,варенье,7,3,real,1.0,100_DDF,train,True,1.0
14,between,segments\segment_14.wav,segment_14.wav,155.64525,160.46125,4.8160000000000025,100_DDF,100_DDF_seg014,зять любовно нарядил  n/r,Зять любовно нарядил ...,N/R,8,3,real,0.0,100_DDF,train,,
14,between,segments_augmented/100_DDF_seg014_aug1.wav,segment_14.wav,155.64525,160.46125,4.8160000000000025,100_DDF,100_DDF_seg014_aug1,зять любовно нарядил  n/r,Зять любовно нарядил ...,N/R,8,3,real,0.0,100_DDF,train,True,0.0
